NO,시군구,단지명,도로명,위도,경도,bus_count_500m,CCTV_count,school_count,streetlight_count,safety_score_raw,safety_score_normalized,safety_score,동,cluster
5228,서울특별시 송파구 송파동,(86-20),백제고분로42길 6-27,37.50482425,127.1084634,10,191,0,6,0.739657959,0.307027058,45.745947023,송파동,1
5231,서울특별시 관악구 봉천동,(881-3),남부순환로214길 27,37.48033639,126.9478143,13,319,27,0,1.2049981,0.501441315,52.55044602499999,봉천동,1
5239,서울특별시 영등포구 당산동,SJ497,영중로42길 7,37.52851892,126.9066089,12,150,2,106,0.962608463,0.400173453,49.00607085499999,당산동,1
5240,서울특별시 강남구 삼성동,아르헤 타워,봉은사로 447,37.51193153,127.0486116,4,276,2,0,0.671051835,0.278364135,44.742744718,삼성동,1
5251,서울특별시 동작구 사당동,(142-1),동작대로27다길 31,37.48604969,126.980507,4,234,4,0,0.602573513,0.249754606,62.48773031,사당동,0
5258,서울특별시 송파구 가락동,송파가락두산위브센티움,송파대로30길 16,37.49459367,127.1191554,10,106,0,9,0.588205163,0.243751659,43.531308079,가락동,1
5267,서울특별시 영등포구 양평동2가,이레오피스텔A,영등포로 24,37.52286776,126.88414,4,163,6,20,0.52325808,0.216617446,42.581610603,양평동2가,1
5272,서울특별시 동작구 대방동,올리브 빌딩,상도로 58,37.49956304,126.9268537,7,224,43,0,0.881738045,0.366386636,68.31933179,대방동,0
5273,서울특별시 서초구 서초동,하림인터내셔날 오피스텔,서초대로 316,37.49403167,127.0162237,11,237,1,0,0.854168251,0.354868263,47.42038921899999,서초동,1
5276,서울특별시 서초구 서초동,(1591-5),반포대로14길 29,37.48577103,127.0127108,15,208,1,0,0.949060484,0.394513248,48.807963694,서초동,1
5297,서울특별시 강동구 길동,청광플러스원큐브3차,진황도로 87,37.53637456,127.1364512,9,255,0,0,0.808450737,0.335767963,66.78839816,길동,0
5310,서울특별시 강서구 등촌동,HT뉴파인,공항대로55길 51,37.55525962,126.861727,6,112,2,0,0.440764897,0.182152654,59.10763272,등촌동,0
5314,서울특별시 서대문구 창천동,창천오피스텔,성산로22길 2-1,37.56055226,126.9330611,11,214,1,0,0.811440089,0.337016883,66.85084415,창천동,0
5319,서울특별시 서대문구 대현동,신촌리브하임,이화여대3길 45,37.55777943,126.9433785,15,284,4,0,1.104569719,0.459483385,72.97416925,대현동,0
5327,서울특별시 마포구 노고산동,신촌 G&P NINE,신촌로 142,37.55613086,126.9412994,20,308,2,0,1.3255672,0.551813827,77.59069137,노고산동,0
5334,서울특별시 강서구 화곡동,도양라비앙아파트,곰달래로22길 15,37.52970247,126.8445171,9,333,1,12,0.983950966,0.409090128,49.318154473,화곡동,1
5348,서울특별시 성북구 성북동1가,휴아름 스튜디오,창경궁로 323,37.58843807,127.0054146,5,226,7,0,0.639223787,0.265066709,63.25333543,성북동1가,0
5349,서울특별시 성북구 안암동4가,서정오피스텔,안암로 31,37.58043264,127.0259026,17,217,6,0,1.064031179,0.442546806,72.12734028,안암동4가,0
5372,서울특별시 강북구 수유동,연승카운티,수유로12길 41,37.63313195,127.0215909,6,304,0,0,0.787905146,0.32718423,66.35921148,수유동,0
5378,서울특별시 동대문구 장안동,마하나임,장한로26길 40,37.57141153,127.0737232,0,151,0,48,0.383809742,0.158357385,57.91786924,장안동,0
5385,서울특별시 성북구 동선동1가,더프라임,동소문로20가길 54,37.59362088,127.0190205,5,218,21,0,0.69119094,0.286778043,64.33890215,동선동1가,0
5391,서울특별시 중구 황학동,한양립스 이노와이즈,난계로15길 63,37.56907163,127.0199069,6,247,105,0,1.18323203,0.492347678,74.61738389,황학동,0
5414,서울특별시 은평구 녹번동,에스클래스,진흥로 114,37.60661706,126.9234129,10,311,1,0,0.95444975,0.396764828,69.83824139,녹번동,0
5416,서울특별시 중랑구 신내동,엘리어트하우스,신내로 193,37.61549111,127.0944498,7,49,2,58,0.48572744,0.200937536,60.04687678,신내동,0
5420,서울특별시 영등포구 영등포동2가,지뗌,영등포로 239,37.51958075,126.9082631,19,253,0,62,1.310068764,0.545338743,54.086855991,영등포동2가,1
5423,서울특별시 금천구 독산동,세교예지안8차,가산로3길 45,37.47203707,126.8929467,10,178,2,0,0.712143017,0.295531602,64.77658011,독산동,0
5427,서울특별시 구로구 구로동,하나세인스톤2차,가마산로 284,37.4964758,126.891921,7,404,10,0,1.05860657,0.44028046,50.409816113999995,구로동,1
5442,서울특별시 영등포구 영등포동3가,제이캐슬,영중로10길 18,37.51887386,126.9071636,19,278,0,51,1.332841778,0.55485307,54.41985745,영등포동3가,1
5445,서울특별시 금천구 가산동,명남더블레스,가산로5길 66,37.47373305,126.8909875,8,167,1,0,0.612550864,0.25392304,62.69615198,가산동,0
5454,서울특별시 강서구 마곡동,청람아트빌,양천로47길 60-23,37.57382579,126.8377205,2,68,1,66,0.34750753,0.143190699,57.15953496,마곡동,0
5468,서울특별시 구로구 구로동,태형팰리스,구로중앙로28길 52,37.49968127,126.8883871,8,418,8,1,1.114411593,0.463595217,51.225832602,구로동,1
