NO,시군구,단지명,도로명,위도,경도,bus_count
498,서울특별시 광진구 화양동,빌리브 인테라스,능동로 172,37.5460180138476,127.074001181744,6
499,서울특별시 용산구 원효로1가,오피스텔 채원,백범로90라길 48,37.5391526310531,126.969835907667,9
500,서울특별시 종로구 숭인동,숭인한성아펠시티,난계로 257,37.5746165066232,127.023019926587,8
502,서울특별시 중랑구 면목동,아이콘스타,사가정로54길 26,37.579734806021,127.088317009799,4
504,서울특별시 성동구 행당동,다온오피스텔,무학봉28길 24,37.5611556517479,127.034105242551,4
506,서울특별시 성북구 동소문동4가,-118,동소문로 53,37.5912447696481,127.011435415714,3
507,서울특별시 성북구 동선동3가,1,동소문로28길 22,37.5950517551772,127.020036521103,2
510,서울특별시 용산구 원효로3가,e테크밸리,원효로 128,37.5332915837904,126.95767358317,6
512,서울특별시 강북구 미아동,그랜드파크,도봉로 278,37.633224505686,127.023789454155,4
516,서울특별시 중구 황학동,위너빌(Winnervill),마장로14길 11,37.5677197822002,127.021404705916,5
518,서울특별시 중랑구 망우동,삼부,상봉로 134,37.5980729912173,127.093326241731,8
520,서울특별시 중랑구 상봉동,라메즈오피스텔,면목로92나길 10-5,37.5947624037275,127.087302649512,3
521,서울특별시 중랑구 상봉동,동인씨엘로 103동,면목로92라길 10,37.5956729985714,127.087230903742,2
523,서울특별시 동대문구 답십리동,한성아펠시티,황물로 168,37.5652209364129,127.056263899378,3
525,서울특별시 동대문구 장안동,드플랏장안,장한로 82,37.5681845758804,127.069472536661,0
526,서울특별시 동대문구 장안동,프라하임 장안2차,장한로26나길 21,37.5705102544294,127.072568912858,0
530,서울특별시 종로구 숭인동,버넷하임1,종로66길 27,37.5737460908599,127.022367733858,5
531,서울특별시 종로구 숭인동,서도휴파크,종로 387,37.5748218892208,127.020315351594,4
534,서울특별시 강북구 수유동,시티앤플랫폼,도봉로83길 20,37.6377379075243,127.023761209038,3
535,서울특별시 종로구 필운동,파크뷰타워,사직로 96,37.5757271774764,126.96949422756,5
536,서울특별시 노원구 상계동,오피앙,동일로 1701,37.68027008596,127.054888636551,7
538,서울특별시 관악구 남현동,(602-37),승방4길 23,37.4747682341656,126.980453153722,6
539,서울특별시 관악구 신림동,유송신림,신림로71길 6-6,37.4886316836859,126.927910079235,6
540,서울특별시 관악구 신림동,다온타워,신림로66길 41,37.4858461905759,126.931966592213,6
541,서울특별시 동작구 신대방동,디앤씨타워,보라매로 86-1,37.4970033817868,126.928191530316,4
542,서울특별시 관악구 신림동,DH TOWER,남부순환로181길 33,37.486135185181,126.930489652962,6
543,서울특별시 관악구 봉천동,센트럴 포인트,남부순환로 1767,37.4821554997013,126.946751417492,2
544,서울특별시 영등포구 당산동1가,드림캐슬,당산로10길 13,37.5220080011132,126.89716072774,3
546,서울특별시 관악구 봉천동,(851-10),봉천로53길 11,37.4824088073745,126.954136631953,7
560,서울특별시 강남구 역삼동,역삼역센트럴푸르지오시티,언주로85길 32,37.5008584122618,127.040587989603,2
563,서울특별시 강남구 역삼동,신논현 마에스트로,봉은사로 140,37.5059333937172,127.03012719701,1
564,서울특별시 강남구 역삼동,강남역 쉐르빌,강남대로 328,37.4923585043421,127.030707488212,10
565,서울특별시 영등포구 당산동5가,데시앙루브 오피스텔,당산로 203,37.5323566668263,126.900030870822,4
566,서울특별시 영등포구 당산동5가,태림빌,당산로45길 7-4,37.5338059404166,126.90036722676,8
568,서울특별시 영등포구 신길동,검지스캐슬,영등포로 396,37.5131827774609,126.921875607508,4
569,서울특별시 영등포구 양평동6가,선유도역 더블파크 투웨니퍼스트,양평로30길 38,37.5431220594345,126.888433985503,2
570,서울특별시 영등포구 양평동5가,한빛뉴스토리선유,양평로23길 3,37.5380716248981,126.892544787858,4
572,서울특별시 금천구 시흥동,(988-9),시흥대로45길 15,37.4491901993518,126.901004841108,9
573,서울특별시 영등포구 영등포동4가,글로벌엠제이,영신로34길 13,37.5199309849023,126.902659835938,8
574,서울특별시 금천구 가산동,101동,가산로 91,37.4741173302224,126.893958429067,4
582,서울특별시 영등포구 영등포동5가,리첸스타,영등포로37길 18,37.5218485742529,126.905752490832,4
584,서울특별시 강서구 마곡동,힐스테이트 에코 마곡역,마곡중앙로 76,37.5604157024356,126.827523168575,6
586,서울특별시 구로구 고척동,홈런오피스텔,중앙로 10-16,37.4998136013694,126.866084045607,4
587,서울특별시 강서구 마곡동,필네이처,마곡중앙8로 86,37.5606375679119,126.836935701461,4
588,서울특별시 금천구 시흥동,신영메트로시티,시흥대로54길 31,37.452945919331,126.902554463705,17
590,서울특별시 구로구 신도림동,크라운빌Ⅱ,경인로63길 11,37.5078677258867,126.88511695609,3
591,서울특별시 구로구 오류동,오류동 삼전솔하임,경인로 187,37.4955376197127,126.841756376556,5
592,서울특별시 영등포구 영등포동7가,글로벌엠제이7,국회대로54길 21,37.5236370422072,126.908590816151,3
597,서울특별시 구로구 구로동,한솔로이젠트,가마산로 265,37.4961288245767,126.889682828926,6
599,서울특별시 금천구 독산동,수아주 신독산,시흥대로115길 13,37.4679081590866,126.896865576854,8
600,서울특별시 구로구 구로동,신도림포스빌,새말로 102,37.5056956285862,126.891648310229,1
