NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
10151,서울특별시 금천구 독산동,144-4,144,4,영진오피스텔,전세,22.94,202410,22,"6,500",0,6,2001,시흥대로141길 81-2,202410~202610,신규,-,,
10161,서울특별시 강서구 내발산동,678-30,678,30,에스엠파크뷰,전세,34.79,202410,22,"28,400",0,3,2019,강서로 317,202412~202612,신규,-,,
10163,서울특별시 영등포구 영등포동1가,76,76,0,스페이스 오피스텔,월세,22.98,202410,22,"5,000",42,4,2006,경인로114가길 12,202411~202511,신규,-,,
10164,서울특별시 영등포구 영등포동4가,55,55,0,HIGHEND 63st,전세,39.73,202410,22,"45,000",0,8,2023,영중로 21,202412~202612,신규,-,,
10178,서울특별시 영등포구 영등포동2가,28-128,28,128,세영오피스텔,월세,29.94,202410,22,"3,000",47,5,2012,국회대로56길 61,202411~202611,신규,-,,
10191,서울특별시 영등포구 영등포동1가,Jun-31,31,6,파크빌,월세,28.08,202410,21,"2,000",87,7,2019,경인로112길 15,202411~202510,신규,-,,
10202,서울특별시 구로구 가리봉동,137-23,137,23,가산하우젠,전세,17.48,202410,21,"9,000",0,4,2016,남부순환로 1305,202412~202612,신규,-,,
10218,서울특별시 양천구 목동,791-17,791,17,동양오피스텔,전세,18.24,202410,21,"7,660",0,2,2016,목동중앙서로3길 9,202411~202611,갱신,-,"7,300",0
10236,서울특별시 양천구 신월동,148-4,148,4,신월동 리버스타운,월세,46.71,202410,21,"3,000",90,2,2018,가로공원로 100,202411~202611,신규,-,,
10250,서울특별시 서대문구 대현동,37-19,37,19,대현 3719 오피스텔,월세,19.11,202410,21,"3,330",14,4,2023,이화여대3길 24,202409~202612,갱신,-,100,32
10251,서울특별시 강서구 화곡동,901-1,901,1,네스트인,월세,28.54,202410,21,"4,000",95,10,2022,강서로7길 23,202411~202611,신규,-,,
10265,서울특별시 관악구 신림동,534-2,534,2,길상 오피스텔,전세,19,202410,21,"9,950",0,4,2002,신사로 76,202501~202701,갱신,사용,"9,500",0
10266,서울특별시 관악구 신림동,1410-10,1410,10,시엘 10,월세,13.28,202410,21,"13,000",10,4,2015,남부순환로191길 3,202412~202612,신규,-,,
10280,서울특별시 관악구 봉천동,960-12,960,12,오크밸리,월세,18.54,202410,21,"7,500",25,2,2003,봉천로 312,202411~202611,신규,-,,
10293,서울특별시 강동구 암사동,513-39,513,39,에벤에셀나래하우스,월세,28.57,202410,21,"15,500",10,3,2016,상암로6길 48,202411~202611,신규,-,,
10303,서울특별시 송파구 거여동,Feb-35,35,2,아키스오피스텔,월세,21.28,202410,21,"1,000",65,2,2002,오금로 539,202411~202611,신규,-,,
10331,서울특별시 용산구 원효로3가,277-1,277,1,월드메르디앙 용산,전세,29.89,202410,21,"38,000",0,5,2024,원효로 115,202411~202611,신규,-,,
10334,서울특별시 광진구 화양동,May-83,83,5,(83-5),월세,46.5,202410,21,"1,000",65,6,2012,군자로6길 54,202411~202611,신규,-,,
10354,서울특별시 은평구 녹번동,83-44,83,44,양지 미라벨,전세,43.5,202410,21,"13,000",0,5,2001,서오릉로2길 13-7,202411~202611,신규,-,,
10368,서울특별시 강북구 수유동,45-88,45,88,지산타워아파트,월세,25.61,202410,20,"1,000",60,6,2001,노해로3길 29,202410~202610,신규,-,,
10369,서울특별시 광진구 능동,255-18,255,18,노블레스 빌,월세,23.96,202410,20,"1,000",65,5,2003,천호대로 632,202410~202510,신규,-,,
10382,서울특별시 강남구 역삼동,832-5,832,5,역삼디오슈페리움,월세,51.21,202410,20,"32,000",31,10,2006,강남대로 324,202412~202612,신규,-,,
10388,서울특별시 구로구 구로동,186-17,186,17,하나가드리움,월세,25.92,202410,20,"1,000",60,9,2002,도림천로 438,202410~202510,신규,-,,
10392,서울특별시 금천구 시흥동,999-1,999,1,도일산호시티빌,전세,37.8,202410,20,"13,000",0,14,2003,시흥대로 251,202411~202611,갱신,-,"13,000",0
10422,서울특별시 강동구 암사동,463-4,463,4,까사팔공육,월세,20.33,202410,19,"14,300",10,3,2018,올림픽로 806,202410~202610,신규,-,,
10428,서울특별시 강동구 천호동,562,562,0,스카이캐슬라,전세,22.99,202410,19,"20,400",0,3,2020,진황도로25길 18,202411~202611,갱신,-,"19,500",0
10433,서울특별시 강동구 천호동,166-71,166,71,더존스테이71,월세,35.12,202410,19,"5,000",120,8,2024,진황도로27가길 6-7,202410~202610,신규,-,,
10494,서울특별시 금천구 가산동,143-7,143,7,주건축물제1동,전세,23.57,202410,19,"25,000",0,14,2023,가산로 137,202411~202611,신규,-,,
10575,서울특별시 중랑구 망우동,490-19,490,19,보경빌딩,월세,20.5,202410,19,"1,000",57,6,2021,망우로 394,202410~202610,신규,-,,
10590,서울특별시 관악구 봉천동,1654-9,1654,9,(1654-9),월세,15.34,202410,19,"9,900",18,4,2002,남부순환로 1986-1,202411~202611,신규,-,,
10599,서울특별시 강남구 자곡동,672,672,0,훼미리타운,전세,45.96,202410,19,"41,000",0,7,2017,밤고개로 231,202412~202612,신규,-,,
10610,서울특별시 영등포구 당산동6가,344-10,344,10,소미골드라인Ⅰ,월세,27.95,202410,19,"27,000",13,4,2019,선유로54길 15,202411~202611,신규,-,,
10612,서울특별시 관악구 봉천동,Feb-31,31,2,케렌시아빌딩,월세,21.84,202410,19,"22,300",12,10,2022,행운1마길 20,202412~202612,신규,-,,
10622,서울특별시 영등포구 당산동,121-110,121,110,당산오피스텔,전세,47.4,202410,19,"21,000",0,8,2001,국회대로55길 28,202410~202610,갱신,-,"20,475",0
10624,서울특별시 관악구 봉천동,895-9,895,9,그레이빌,전세,27.79,202410,19,"9,400",0,3,2017,청룡3길 7-4,202411~202611,신규,-,,
10638,서울특별시 강서구 화곡동,922-4,922,4,해평캐슬,전세,24.06,202410,19,"25,000",0,4,2024,월정로18길 43,202412~202612,신규,-,,
10660,서울특별시 마포구 공덕동,27-4,27,4,DK빌딩,월세,27.91,202410,19,"1,000",88,11,2020,만리재로 110,202410~202510,신규,-,,
10670,서울특별시 마포구 공덕동,111-201,111,201,벨로하우스 공덕,전세,42.68,202410,19,"29,000",0,5,2019,만리재로 84,202411~202611,갱신,-,"27,700",0
10689,서울특별시 강서구 등촌동,565-6,565,6,도원더52,전세,29.05,202410,18,"29,700",0,3,2022,등촌로 79,202412~202612,신규,-,,
10692,서울특별시 서대문구 홍은동,165-2,165,2,코지펠리스,전세,56.12,202410,18,"26,000",0,7,2009,통일로 547,202411~202611,신규,-,,
10699,서울특별시 은평구 대조동,197-20,197,20,도원빌딩,전세,34.23,202410,18,"14,700",0,3,2002,연서로26길 9-5,202411~202611,신규,-,,
10711,서울특별시 서대문구 미근동,190,190,0,쎄미앙 오피스텔,월세,22.61,202410,18,"11,000",15,2,2006,통일로 107-5,202410~202610,갱신,-,"11,000",13
