NO,시군구,도로명,위도,경도,bus_count
2083,서울특별시 관악구 봉천동,쑥고개로 101-6,37.4795747297469,126.947942062324,5
2085,서울특별시 관악구 봉천동,남부순환로218길 32,37.4799107501215,126.9501095157,7
2087,서울특별시 영등포구 당산동,버드나루로23길 23-6,37.5287817234348,126.907040046516,3
2088,서울특별시 영등포구 당산동,버드나루로 131,37.5299077262501,126.907181877674,2
2095,서울특별시 서초구 서초동,서초중앙로 58,37.4871437304777,127.015593855751,6
2097,서울특별시 영등포구 양평동2가,영등포로 14-3,37.5227796466337,126.883325289295,2
2099,서울특별시 관악구 봉천동,성현로 8,37.4918812917081,126.944684131186,1
2102,서울특별시 영등포구 당산동6가,당산로50길 12,37.5343097229975,126.903886158189,7
2103,서울특별시 영등포구 도림동,도영로 16,37.5078774421261,126.895992663537,0
2107,서울특별시 영등포구 여의도동,여의대방로 376,37.5181886056247,126.931354574177,5
2109,서울특별시 관악구 봉천동,청룡5길 21,37.4800997545805,126.947145645375,4
2110,서울특별시 관악구 봉천동,쑥고개로21길 25-3,37.4800317086752,126.94791280207,5
2112,서울특별시 영등포구 당산동4가,당산로38길 13-1,37.5287848623823,126.899646233962,3
2123,서울특별시 강동구 성내동,천호대로176길 10-10,37.5341858950363,127.135787988838,3
2129,서울특별시 서대문구 대현동,이화여대5길 9,37.5582456253306,126.945127544817,7
2131,서울특별시 강서구 염창동,양천로 744,37.5485598927684,126.878256045999,3
2134,서울특별시 강서구 화곡동,월정로18길 6,37.5291173404955,126.839189741332,4
2135,서울특별시 강서구 화곡동,곰달래로16길 15,37.529459781664,126.840430312071,4
2136,서울특별시 강서구 화곡동,강서로7길 108,37.5291578260463,126.841747037481,6
2137,서울특별시 강서구 화곡동,강서로 191,37.5432641044882,126.838520714498,6
2141,서울특별시 양천구 신정동,목동서로 301-15,37.5195133275073,126.869296267125,3
2149,서울특별시 강서구 등촌동,화곡로68길 47,37.5588178100824,126.856790810545,3
2154,서울특별시 마포구 노고산동,신촌로12다길 25,37.5547508157683,126.933997236131,8
2157,서울특별시 강서구 가양동,양천로 469-13,37.5629219050448,126.853315206077,8
2159,서울특별시 강서구 화곡동,화곡로42나길 14-21,37.5467667715887,126.84749332024,3
2165,서울특별시 동대문구 휘경동,망우로21나길 14,37.5907945135845,127.060919671596,2
2166,서울특별시 은평구 불광동,통일로66길 10-1,37.6105961016293,126.931481407382,7
2168,서울특별시 중구 만리동1가,만리재로 193,37.5550198699539,126.967199040035,1
2176,서울특별시 중구 흥인동,퇴계로 409,37.5658020981674,127.016999859209,4
2178,서울특별시 동대문구 용두동,왕산로 72,37.5777282391894,127.031371717206,7
2181,서울특별시 은평구 불광동,불광로 137,37.6189218424352,126.932536575147,0
2185,서울특별시 성동구 행당동,무학봉28길 30,37.5610111855336,127.034231148008,4
2188,서울특별시 중구 광희동1가,을지로44길 18-4,37.5654263546145,127.006352588782,4
2189,서울특별시 성동구 성수동1가,서울숲길 45,37.5481755241136,127.042677600203,0
2190,서울특별시 강북구 미아동,도봉로 282,37.6335639906742,127.023821284061,4
2194,서울특별시 중랑구 상봉동,면목로92길 16,37.5949830814978,127.08690251482,4
2196,서울특별시 동대문구 답십리동,천호대로 257,37.5689570546728,127.050579853883,0
2197,서울특별시 중랑구 상봉동,면목로92라길 15,37.5956711047793,127.086744220871,3
2200,서울특별시 강북구 수유동,도봉로77길 26,37.6338515141895,127.021861534809,2
2209,서울특별시 영등포구 영등포동7가,버드나루로11길 10,37.52472057321,126.908108139229,6
2211,서울특별시 구로구 오류동,고척로1길 17,37.49498539313,126.839950492234,3
2214,서울특별시 영등포구 영등포동8가,영중로 119,37.5267660967496,126.905231110596,10
2216,서울특별시 금천구 가산동,디지털로12길 37,37.477245116591,126.890330588284,12
2217,서울특별시 금천구 가산동,벚꽃로56길 182,37.4796734195682,126.888303963102,14
2220,서울특별시 영등포구 영등포동1가,경인로 900,37.5176921431262,126.912647744146,4
2223,서울특별시 구로구 구로동,구일로 90-11,37.4936272572134,126.87290171245,0
2230,서울특별시 구로구 구로동,시흥대로161길 28,37.4797345754652,126.897732542264,3
2232,서울특별시 금천구 시흥동,시흥대로54길 45,37.4534085309636,126.902374388755,17
2241,서울특별시 강서구 방화동,개화동로27가길 33,37.5627209818902,126.807522731364,5
2245,서울특별시 영등포구 영등포동2가,영등포로 245-1,37.5193880512033,126.90888467891,7
2269,서울특별시 금천구 독산동,벚꽃로12길 9,37.4650096306153,126.890872388667,0
2271,서울특별시 금천구 독산동,두산로 5-8,37.4711027520872,126.88869078677,4
2281,서울특별시 영등포구 영등포동7가,버드나루로7길 12-22,37.5241288767491,126.908911493902,2
2282,서울특별시 강서구 공항동,남부순환로 1,37.5613061698812,126.80770146375,6
2283,서울특별시 강서구 방화동,개화동로 551,37.5635103490508,126.806919006998,3
2285,서울특별시 마포구 공덕동,만리재로 94,37.5485833727625,126.959794325567,0
2287,서울특별시 은평구 응암동,은평로 116,37.599874221866,126.920675858475,6
2288,서울특별시 은평구 응암동,백련산로 9,37.5865449819624,126.922622111358,0
2289,서울특별시 마포구 서교동,양화로7길 3,37.550990480302,126.915199167485,6
2290,서울특별시 서대문구 합동,서소문로 37,37.5607869675965,126.965597031982,7
2291,서울특별시 서대문구 합동,서소문로 45,37.5612879295253,126.966248165125,7
2295,서울특별시 마포구 성산동,월드컵로34길 18,37.5653114319639,126.904198356893,4
2298,서울특별시 강서구 등촌동,공항대로59길 80-6,37.5550520202301,126.863576041776,4
2301,서울특별시 강서구 등촌동,강서로 462,37.5666120273171,126.84140274432,5
2303,서울특별시 강서구 화곡동,화곡로42길 20,37.5462163703834,126.846534058576,2
2304,서울특별시 강서구 화곡동,강서로7길 20-32,37.530184855647,126.845266875473,5
2311,서울특별시 강서구 화곡동,곰달래로 82,37.5300668846821,126.841843431116,8
2324,서울특별시 관악구 신림동,난곡로63길 28,37.4810029503894,126.912945990196,7
2325,서울특별시 관악구 신림동,조원로22길 35,37.4830904942425,126.91380217698,8
2328,서울특별시 송파구 잠실동,백제고분로7길 49,37.510948520197,127.084336791957,5
2329,서울특별시 서초구 양재동,마방로10길 15,37.4769039393292,127.043892850214,2
2337,서울특별시 송파구 삼전동,삼학사로 23,37.4993497013676,127.096353997923,0
2338,서울특별시 서초구 방배동,사평대로2길 19-20,37.4968094807688,126.985952604936,2
2344,서울특별시 관악구 봉천동,남부순환로 1935-5,37.4771391663966,126.964623457144,3
2346,서울특별시 관악구 봉천동,청룡1길 37,37.4811979877216,126.948352931445,4
